Q31	country in western Europe
Q868196	town, suburb of Birmingham, England
Q868229	diocese of the Catholic Church
Q868241	diocese of the Catholic Church in Mexico
Q868379	diocese of the Catholic Church
Q868407	archdiocese of the Catholic Church
Q868526	diocese in northeastern Minnesota, USA
Q868637	town in Cheshire, England
Q868644	Anglican diocese in the Province of Canterbury
Q868656	diocese of the Catholic Church
Q868729	diocese of the Catholic Church
Q868772	skyscraper in Midtown Manhattan, New York City
Q869269	diocese of the Catholic Church
Q869416	diocese of the Catholic Church
Q869506	diocese of the Catholic Church
Q869543	diocese of the Catholic Church
Q869814	diocese of the Catholic Church
Q869930	diocese of the Catholic Church
Q870112	diocese of the Catholic Church
Q870182	association football club
Q870569	railway line in Japan
Q870725	diocese of the Catholic Church
Q870856	diocese of the Catholic Church
Q870861	diocese of the Catholic Church
Q870879	2018 edition of the Summer Youth Olympics
Q870970	diocese of the Catholic Church
Q871369	university in Salzburg, Austria
Q871601	municipality in Austria
Q871623	diocese of the Catholic Church
Q872069	diocese of the Catholic Church in the Philippines
Q872669	diocese of the Catholic Church
Q872670	diocese of the Catholic Church
Q872926	diocese of the Catholic Church
Q872935	railway line in Japan
Q873326	diocese of the Catholic Church
Q873360	diocese of the Catholic Church
Q873522	diocese of the Catholic Church
Q873835	city in Gunma Prefecture, Japan
Q873961	diocese of the Catholic Church
Q874285	diocese of the Catholic Church
Q874452	diocese of the Catholic Church
Q874560	diocese of the Catholic Church
Q874719	diocese of the Catholic Church
Q874904	diocese of the Catholic Church
Q874953	former train on the Trans-Europ-Express connection Zurich-Munich
Q875120	association football club
Q875127	diocese of the Catholic Church
Q875386	diocese of the Catholic Church
Q875410	diocese of the Catholic Church
Q875581	diocese of the Catholic Church
Q875693	diocese of the Catholic Church
Q875734	diocese of the Catholic Church
Q875873	diocese of the Catholic Church
Q876058	diocese of the Catholic Church
Q876114	diocese of the Roman Catholic Church
Q876176	town and district in İzmir Province, Turkey
Q876356	diocese of the Catholic Church
Q876625	diocese of the Catholic Church
Q876708	diocese of the Catholic Church
Q876767	diocese of the Catholic Church
Q876825	diocese of the Catholic Church
Q877037	diocese of the Catholic Church
Q877184	city in Ibaraki Prefecture, Japan
Q877190	city in Hyōgo Prefecture, Japan
Q877280	diocese of the Catholic Church
Q877322	metro line in Vienna
Q877330	diocese of the Catholic Church
Q877398	archdiocese of the Catholic Church
Q877594	diocese of the Catholic Church
Q877715	diocese of the Catholic Church
Q877722	diocese of the Catholic Church
Q877866	diocese of the Catholic Church in Canada
Q878642	association football league
Q878644	diocese of the Catholic Church
Q878652	diocese of the Catholic Church
Q880905	observation tower and entertainment complex in Blackpool, England
Q890949	town in the Czech Republic
Q894564	estuary and harbor of Massachusetts Bay in the northeastern United States
Q894583	library in Boston, Massachusetts, U.S.
Q895401	private liberal arts college in Brunswick, Maine
Q896965	association football club in Bradford, England
Q898522	airline
Q898921	railway line in Tottori prefecture, Japan
Q899039	Annual prize awarded by Columbia University
Q899188	2008 expansion video game to Command & Conquer 3: Tiberium Wars
Q899427	town in Mureș County, Romania
Q900630	railway line owned by Kintetsu in Japan
Q901485	tram system
Q902942	railway line
Q904070	political party
Q904472	market town in Powys, Wales, United Kingdom
Q908274	old political party in Ecuador
Q908986	Japanese commercial television network
Q909176	magazine
Q910359	railway line in Hyogo prefecture, Japan
Q911830	law school
Q912219	high-speed railway line in Japan servicing between (through from Tokyo) Ōmiya and Niigata stations
Q912225	Algerian association football club
Q912407	prison
Q913536	video game
Q915603	national museum of New Zealand
Q915954	metropolitan borough of Greater Manchester, England
Q917888	municipality in Castelló, Spain
Q917992	province of the Democratic Republic of the Congo
Q918209	women's Olympic association football team representing the UK
Q920699	central bank of Egypt
Q923610	academic publisher
Q923973	expansion pack for The Sims 3
Q924225	narrow-gauge railway line from Damascus to Medina
Q924450	military decoration of the Soviet Union
Q926139	municipality in Flemish Brabant, Belgium
Q928828	province of Iran
Q929667	town in Middlesex County, Massachusetts, United States
Q932042	municipality in Gelderland, the Netherlands
Q932058	municipality in Gelderland, the Netherlands
Q932981	county seat of Delaware County, Indiana, United States
Q934525	municipality of the Netherlands
Q935127	annual film festival held in Sarajevo, Bosnia and Herzegovina
Q935847	city in the region of Central Finland
Q936285	Hungarian archabbey built in 996
Q939106	earthquake
Q939727	city in the region of Finland Proper
Q939806	2012 survival horror video game
Q942713	part of National Galleries of Scotland in Edinburgh
Q943118	former air warfare service of the British Army
Q945296	roman catholic metropolitan archdiocese in Argentina
Q945911	municipality of Spain
Q945935	metro line
Q946750	volcano in Peru
Q947115	parish seat of Ouachita Parish, Louisiana, United States
Q948900	Australian rules football club
Q950129	municipality in Flemish Brabant, Belgium
Q952097	city in Michigan, United States
Q952997	municipality in Gelderland, the Netherlands
Q953446	Higher education institution in Saitama Prefecture, Japan
Q953953	tactical shooter and battlefield simulator video game
Q957952	former American professional basketball team
Q961476	archdiocese
Q961543	programming language
Q965371	Brazilian commercial television network
Q965450	Japanese anime television series
Q969047	cultural heritage monument of Kosovo
Q969203	local government district of Cambridgeshire, England
Q969850	public university in Stony Brook, New York, United States
Q970747	archdiocese
Q971490	association football club
Q971745	diocese of the Catholic Church
Q972398	American close harmony singing group
Q974277	Nippon Professional Baseball team in the Pacific League
Q974950	archdiocese in Texas, USA
Q976101	Papal decoration of merit
Q976454	journal
Q979357	town in Cumbria, England, United Kingdom
Q981822	metro line in Sapporo, Hokkaido, Japan
Q983853	city
Q984374	city in Jackson County, Michigan, United States
Q984857	city of Poland
Q984927	city in the region of Central Ostrobothnia in Finland
Q985179	county seat of Columbia County, Florida, United States
Q985269	municipality in the Autonomous Community of Madrid
Q985808	university
Q985812	Cantonese cuttlefish dish
Q986068	town in the Czech Republic
Q986432	city in and county seat of Jefferson County, Ohio, United States
Q987729	dedicated business district outside of Paris
Q988739	city in and the county seat of Ross County, Ohio, United States
Q989282	city in LaPorte County, Indiana, United States
Q989330	Railway line in Hong Kong
Q989335	Railway line in Hong Kong
Q989358	Railway line in Hong Kong
Q989369	Railway line in Hong Kong
Q989418	town in County Durham, England
Q990168	town and civil parish of the City of Bradford in West Yorkshire, England
Q990376	city in Nagasaki Prefecture, Japan
Q990448	municipality and city in Portugal
Q990553	municipality in the region of Central Finland
Q990573	city in the region of Northern Ostrobothnia in Finland
Q990775	town and civil parish in Essex, England
Q994217	town and municipality in Serbia
Q994918	association football club in Italy
Q995152	town in Cherson Oblast, Ukraine
Q995265	historically women's liberal arts college in Bryn Mawr, Pennsylvania, US
Q995911	village in The Netherlands
Q997465	1987 original video animation series
Q999649	town and civil parish in Devon, United Kingdom
Q999791	mountain in the Antarctic
Q999916	municipality of the Czech Republic
Q1000060	town in the Vysočina Region of the Czech Republic
Q1002177	town in Aberdeenshire, Scotland
Q1005953	city in Michigan, United States
Q1006240	town in Kerala
Q1006277	city in Indian state of Karnataka
Q1007059	software forge, website, and associated engine
Q1010600	former municipality of Estonia
Q1012665	city in and county seat of La Plata County, Colorado, United States
Q1012887	city
Q1015409	town in the Czech Republic
Q1015672	city in New Zealand's North Island
Q1017358	city
Q1017943	Market town on Portsmouth Harbour, England
Q1019915	district of Turkey
Q1020217	town in Somerset, England
Q1020800	town in East Sussex, England
Q1022939	sports club in Argentina
Q1023227	Portuguese association football club
Q1024390	association football club in Romania
Q1025076	town and civil parish in Cumbria, England, United Kingdom
Q1025790	small town, civil parish and cargo port at the mouth of the River Fowey in south Cornwall, England
Q1026702	political party in Hong Kong
Q1026909	university
Q1026916	State university in Hayward, California
Q1026926	public university in Long Beach, California, United States
Q1026944	public university in San Bernardino, California
Q1029504	university in Sofia, Bulgaria
Q1030918	district of Kerala, India
Q1031145	Government agency of Japan
Q1031200	association football club in Portland, Oregon, USA
Q1032175	professional Canadian football league
Q1033083	association football league
Q1034366	former launch site at Cape Canaveral Air Force Station, Florida
Q1035703	video game
Q1035745	public research university in Cardiff, United Kingdom
Q1036100	Luxembourgish cargo airline
Q1045425	French political party
Q1045811	association football club in Dordrecht, Netherlands
Q1046130	Type of ICBM
Q1046446	mansion in Toronto, Canada
Q1046755	former main airport in Bangkok, Thailand
Q1047535	Japanese association football club
Q1048495	government-owned low-cost airline
Q1048626	New Zealand university
Q1049171	national under-18 association football team representing England
Q1050783	flag carrier airline of Brunei
Q1050918	trademark of mineral water coming from several sources near Évian-les-Bains
